START TIME:2022-08-22 22:19:30
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
3,5.109113e+00, -4.00000e-01, -2.22301e-09
3,5.129161e+00, -3.80000e-01, -2.03407e-09
3,5.149209e+00, -3.60000e-01, -1.84095e-09
3,5.169262e+00, -3.40000e-01, -1.70493e-09
3,5.189310e+00, -3.20000e-01, -1.58036e-09
3,5.209359e+00, -3.00000e-01, -1.50955e-09
3,5.229408e+00, -2.80000e-01, -1.36554e-09
3,5.249456e+00, -2.60000e-01, -1.20401e-09
3,5.269505e+00, -2.40000e-01, -1.10281e-09
3,5.289553e+00, -2.20000e-01, -1.00601e-09
3,5.310109e+00, -2.00000e-01, -8.96931e-10
3,5.330157e+00, -1.80000e-01, -7.78913e-10
3,5.350205e+00, -1.60000e-01, -6.87718e-10
3,5.370253e+00, -1.40000e-01, -5.82695e-10
3,5.390302e+00, -1.20000e-01, -5.16534e-10
3,5.410350e+00, -1.00000e-01, -4.35114e-10
3,5.430399e+00, -8.00000e-02, -3.55244e-10
3,5.450450e+00, -6.00000e-02, -2.76804e-10
3,5.470500e+00, -4.00000e-02, -2.02179e-10
3,5.490540e+00, -2.00000e-02, -1.22190e-10
3,5.510700e+00, 0.00000e+00, -6.53267e-11
3,5.530750e+00, 2.00000e-02, 4.33922e-11
3,5.550800e+00, 4.00000e-02, 1.19448e-10
3,5.570850e+00, 6.00000e-02, 1.98722e-10
3,5.590890e+00, 8.00000e-02, 2.82645e-10
3,5.610940e+00, 1.00000e-01, 3.65138e-10
3,5.630990e+00, 1.20000e-01, 4.58002e-10
3,5.651040e+00, 1.40000e-01, 5.57542e-10
3,5.671090e+00, 1.60000e-01, 6.51360e-10
3,5.691140e+00, 1.80000e-01, 7.60913e-10
3,5.711180e+00, 2.00000e-01, 8.50558e-10
3,5.731740e+00, 2.20000e-01, 9.33766e-10
3,5.751790e+00, 2.40000e-01, 1.19245e-09
3,5.771830e+00, 2.60000e-01, 1.19054e-09
3,5.791880e+00, 2.80000e-01, 1.31536e-09
3,5.811930e+00, 3.00000e-01, 1.49989e-09
3,5.831980e+00, 3.20000e-01, 1.57356e-09
3,5.852030e+00, 3.40000e-01, 1.70922e-09
3,5.872080e+00, 3.60000e-01, 1.93596e-09
3,5.892130e+00, 3.80000e-01, 2.11370e-09
3,5.912170e+00, 4.00000e-01, 2.38764e-09
3,5.932220e+00, 4.20000e-01, 2.44462e-09
3,5.952270e+00, 4.40000e-01, 2.80142e-09
3,5.972320e+00, 4.60000e-01, 3.02994e-09
3,5.992370e+00, 4.80000e-01, 3.17705e-09
3,6.012420e+00, 5.00000e-01, 3.44396e-09
3,6.032470e+00, 5.20000e-01, 3.73626e-09
3,6.052510e+00, 5.40000e-01, 3.98195e-09
3,6.072560e+00, 5.60000e-01, 3.85666e-09
3,6.092610e+00, 5.80000e-01, 4.09126e-09
3,6.112660e+00, 6.00000e-01, 4.30381e-09
3,6.132710e+00, 6.20000e-01, 4.54485e-09
3,6.152760e+00, 6.40000e-01, 4.85063e-09
3,6.172810e+00, 6.60000e-01, 5.20134e-09
3,6.192850e+00, 6.80000e-01, 6.19042e-09
3,6.212900e+00, 7.00000e-01, 7.36308e-09
3,6.232950e+00, 7.20000e-01, 8.04532e-09
3,6.253000e+00, 7.40000e-01, 7.88665e-09
3,6.273050e+00, 7.60000e-01, 8.47912e-09
3,6.293100e+00, 7.80000e-01, 9.10485e-09
3,6.313150e+00, 8.00000e-01, 9.73105e-09
3,6.333190e+00, 8.20000e-01, 9.96673e-09
3,6.353240e+00, 8.40000e-01, 9.77445e-09
3,6.373290e+00, 8.60000e-01, 1.06951e-08
3,6.393340e+00, 8.80000e-01, 1.14330e-08
3,6.413390e+00, 9.00000e-01, 1.23626e-08
3,6.433440e+00, 9.20000e-01, 1.29082e-08
3,6.453480e+00, 9.40000e-01, 1.35621e-08
3,6.473530e+00, 9.60000e-01, 1.43273e-08
3,6.493580e+00, 9.80000e-01, 1.48771e-08
3,6.513630e+00, 1.00000e+00, 1.55404e-08
4,6.703195e+00, -1.06000e+00, -1.67236e-08
4,6.723244e+00, -1.04000e+00, -1.37821e-08
4,6.743292e+00, -1.02000e+00, -1.25608e-08
